organization_code,deployment_code,recording_code,recording_device_codes,recording_start_datetime,recording_end_datetime,recording_duration_secs,recording_interval_secs,recording_sample_rate_khz,recording_bit_depth,recording_channel,recording_n_channels,recording_filetypes,recording_timezone,recording_usable_start_datetime,recording_usable_end_datetime,recording_usable_min_frequency_khz,recording_usable_max_frequency_khz,recording_quality_code,recording_device_lost,recording_device_depth_m,recording_redacted,recording_json,recording_uri,recording_comments
SWFSC,SWFSC_MBY_20230311_ADRIFT_051,SOUNDTRAP_RECORDING,"SOUNDTRAP_6667,HTI_856154,HTI_856170",2023-03-11T21:30:00Z,2023-03-16T19:24:00Z,360,360,384,16,1,2,WAV,UTC,2023-03-11T21:30:00Z,2023-03-16T19:24:00Z,0.05,192,GOOD,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_051,
SWFSC,SWFSC_MBY_20230311_ADRIFT_052,SOUNDTRAP_RECORDING,"SOUNDTRAP_7517,HTI_856164,HTI_856175",2023-03-11T21:54:00Z,2023-03-16T22:54:01Z,360,360,384,16,1,2,WAV,UTC,2023-03-11T21:54:00Z,2023-03-16T22:54:01Z,0.075,192,GOOD,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_052,
SWFSC,SWFSC_MBY_20230311_ADRIFT_053,SOUNDTRAP_RECORDING,"SOUNDTRAP_6665,HTI_856139,HTI_856148",2023-03-11T22:18:00Z,2023-03-16T23:30:01Z,360,360,384,16,1,2,WAV,UTC,2023-03-11T22:18:00Z,2023-03-16T23:30:01Z,0.05,192,GOOD,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_053,
SWFSC,SWFSC_MBY_20230711_ADRIFT_079,SOUNDTRAP_RECORDING,"SOUNDTRAP_6664,HTI_856154,HTI_856170",2023-07-11T19:54:00Z,2023-07-16T16:24:02Z,360,360,384,16,1,2,WAV,UTC,2023-07-11T19:54:00Z,2023-07-16T16:24:02Z,0.2,192,GOOD,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_079,
SWFSC,SWFSC_MBY_20230711_ADRIFT_080,SOUNDTRAP_RECORDING,"SOUNDTRAP_6655,HTI_856165,HTI_856173",2023-07-11T20:42:00Z,2023-07-16T20:12:01Z,360,360,384,16,1,2,WAV,UTC,2023-07-11T20:42:00Z,2023-07-16T20:12:01Z,0.05,192,GOOD,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_080,
SWFSC,SWFSC_MBY_20230711_ADRIFT_081,SOUNDTRAP_RECORDING,"SOUNDTRAP_7517,HTI_856139,HTI_856148",2023-07-11T21:17:59Z,2023-07-16T17:42:02Z,360,360,384,16,1,2,WAV,UTC,2023-07-11T21:17:59Z,2023-07-16T17:42:02Z,0.25,192,GOOD,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_081,
SWFSC,SWFSC_MBY_20230711_ADRIFT_082,SOUNDTRAP_RECORDING,"SOUNDTRAP_7521,HTI_856137,HTI_856149",2023-07-11T21:54:00Z,2023-07-15T18:42:01Z,360,360,384,16,1,2,WAV,UTC,2023-07-11T21:54:00Z,2023-07-15T18:42:01Z,0.025,192,GOOD,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_082,
SWFSC,SWFSC_MBY_20230711_ADRIFT_083,SOUNDTRAP_RECORDING,"SOUNDTRAP_6665,HTI_856141,HTI_856144",2023-07-11T22:42:00Z,2023-07-16T17:18:01Z,360,360,384,16,1,2,WAV,UTC,2023-07-11T22:42:00Z,2023-07-16T17:18:01Z,0.025,192,GOOD,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_083,
SWFSC,SWFSC_MBY_20231106_ADRIFT_101,SOUNDTRAP_RECORDING,"SOUNDTRAP_7932,HTI_856137,HTI_856149",2023-11-06T17:06:00Z,2023-11-10T18:18:01Z,360,360,384,16,1,2,WAV,UTC,2023-11-06T17:06:00Z,2023-11-10T18:18:01Z,0.03,192,COMPROMISED,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_101,
SWFSC,SWFSC_MBY_20231106_ADRIFT_102,SOUNDTRAP_RECORDING,"SOUNDTRAP_6667,HTI_856141,HTI_856144",2023-11-06T17:42:00Z,2023-11-10T19:48:01Z,360,360,384,16,1,2,WAV,UTC,2023-11-06T17:42:00Z,2023-11-10T19:48:01Z,0.03,192,COMPROMISED,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_102,
SWFSC,SWFSC_MBY_20231106_ADRIFT_103,SOUNDTRAP_RECORDING,"SOUNDTRAP_7939,HTI_856135,HTI_856147",2023-11-06T18:54:00Z,2023-11-10T20:54:00Z,360,360,384,16,1,2,WAV,UTC,2023-11-06T18:54:00Z,2023-11-10T20:54:00Z,0.06,192,COMPROMISED,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_103,
SWFSC,SWFSC_MBY_20231106_ADRIFT_104,SOUNDTRAP_RECORDING,"SOUNDTRAP_7930,HTI_856157,HTI_856169",2023-11-06T19:24:00Z,2023-11-10T22:48:01Z,360,360,384,16,1,2,WAV,UTC,2023-11-06T19:24:00Z,2023-11-10T22:48:01Z,0.25,192,COMPROMISED,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_104,
SWFSC,SWFSC_MBY_20231106_ADRIFT_105,SOUNDTRAP_RECORDING,"SOUNDTRAP_7951,HTI_856164,HTI_856175",2023-11-06T20:00:00Z,2023-11-10T22:00:01Z,360,360,384,16,1,2,WAV,UTC,2023-11-06T20:00:00Z,2023-11-10T22:00:01Z,0.25,192,COMPROMISED,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_105,
SWFSC,SWFSC_MBY_20231106_ADRIFT_106,SOUNDTRAP_RECORDING,"SOUNDTRAP_6663,HTI_856165,HTI_856173",2023-11-06T20:35:59Z,2023-11-10T22:18:01Z,360,360,384,16,1,2,WAV,UTC,2023-11-06T20:35:59Z,2023-11-10T22:18:01Z,0.25,192,COMPROMISED,,100,,,gs://swfsc-1/2021-23_ADRIFT_Rankin/drifting_recorder/audio_wav/ADRIFT_106,
